Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
,Cousinia,92908,Embryophytes,220,20.156,1.341463415,-,-2.709740892,83%-84%,-,-
,Lepidothrix coronata,321398,Aves,1,2.146267149,0.142857143,-,-2.709640273,83%-84%,-,3.963952054
tropical mockingbird,Mimus gilvus,111998,Aves,1,1.668633425,0.111111111,-,-2.70922956,83%-84%,-,3.680521485
Northern mockingbird,Mimus polyglottos,60713,Aves,1,1.668633425,0.111111111,-,-2.70922956,83%-84%,-,3.680521485
,Cacatua,12981,Aves,12,22.52162755,1.5,0.895654214,-2.709010964,83%-84%,-2.240819721,9.942742566
,Fritillaria,59070,Embryophytes,118,13.95,0.929133858,-,-2.70898197,83%-84%,-,-
,Cinclosoma punctatum,626376,Aves,1,2.501732467,0.166666667,-,-2.708742948,83%-84%,-,9.342038678
hoary-throated barwing,Actinodura nipalensis,201297,Aves,1,3.001036386,0.2,-,-2.708395603,83%-84%,-,4.298485092
,Trogon melanocephalus,190669,Aves,1,0.937756205,0.0625,-,-2.708323449,83%-84%,-,7.558512997
citreoline trogon,Trogon citreolus,243055,Aves,1,0.937756205,0.0625,-,-2.708323449,83%-84%,-,7.558512997
common babbler,Turdoides caudata,1464063,Aves,1,1.250078096,0.083333333,-,-2.708112676,83%-84%,-,2.90285782
Red-necked pademelon,Thylogale thetis,442964,Mammals,1,3,0.2,0.879532315,-2.708050201,83%-84%,-1.022084383,7.243843908
red-legged pademelon,Thylogale stigmatica,9328,Mammals,1,3,0.2,0.847809976,-2.708050201,83%-84%,-1.051910039,7.243843908
northern flying squirrel,Glaucomys sabrinus,45482,Mammals,1,5,0.333333333,0.973586772,-2.708050201,83%-84%,-1.341764608,10.64041193
southern flying squirrel,Glaucomys volans,64683,Mammals,1,5,0.333333333,1.108325754,-2.708050201,83%-84%,-1.243643318,10.64041193
lesser long-eared bat,Nyctophilus geoffroyi,258945,Mammals,1,7.5,0.5,1.003107567,-2.708050201,83%-84%,-1.607368344,10.03540051
Northern long-eared bat,Nyctophilus arnhemensis,270777,Mammals,1,7.5,0.5,0.723402053,-2.708050201,83%-84%,-1.813267475,10.03540051
Gould's long-eared bat,Nyctophilus gouldi,59471,Mammals,1,7.5,0.5,-,-2.708050201,83%-84%,-,10.03540051
southern tamandua,Tamandua tetradactyla,48850,Mammals,1,15,1,1,-2.708050201,83%-84%,-2.014903021,33.684613
Mexican collared anteater,Tamandua mexicana,9351,Mammals,1,15,1,1,-2.708050201,83%-84%,-2.014903021,33.684613
,Oenanthe cypriaca,391713,Aves,1,0.624712604,0.041666667,0.886775779,-2.707590261,83%-84%,0.396216683,3.530895788
,Percnostola rufifrons,468509,Aves,1,2.996432857,0.2,-,-2.706860446,83%-84%,-,5.832303298
black-headed weaver,Ploceus melanocephalus,441723,Aves,1,0.299573322,0.02,-,-2.706626927,83%-84%,-,1.749857822
Victoria crowned-pigeon,Goura victoria,187124,Aves,1,7.477241362,0.5,1,-2.705011103,83%-84%,-1.606398814,15.99170492
,Phacellodomus ruber,288035,Aves,1,1.66099048,0.111111111,0.934184279,-2.704638676,83%-84%,-0.463114583,2.976438422
white-tailed monarch,Symposiachrus leucurus,1576485,Aves,1,1.147636482,0.076923077,-,-2.702653952,83%-84%,-,3.925059203
,Larus livens,126703,Aves,1,0.426216542,0.028571429,-,-2.702540315,83%-84%,-,1.6337703
,Phytotoma rara,357725,Aves,1,7.440796784,0.5,-,-2.700125118,83%-84%,-,12.12210635
montaine woodcreeper,Lepidocolaptes lacrymiger,75976,Aves,1,1.239927673,0.083333333,0.855937829,-2.699959699,83%-84%,-0.277704113,2.804820377
Loria's bird-of-paradise,Cnemophilus loriae,254448,Aves,1,14.87645111,1,-,-2.6997795,83%-84%,-,25.95630947
,Casuarius bennetti,30463,Aves,1,4.951886316,0.333333333,-,-2.698380867,83%-84%,-,22.261998
black lory,Chalcopsitta atra,274065,Aves,1,4.949737901,0.333333333,0.999799975,-2.697946914,83%-84%,-1.311802584,6.734318406
,Burhinus superciliaris,227171,Aves,1,2.473551757,0.166666667,-,-2.697414545,83%-84%,-,21.48396819
,Burhinus bistriatus,240201,Aves,1,2.473551757,0.166666667,-,-2.697414545,83%-84%,-,21.48396819
,Anas smithii,75859,Aves,1,0.370994064,0.025,-,-2.697310238,83%-84%,-,1.911210683
New Zealand pigeon,Hemiphaga novaeseelandiae,262124,Aves,1,14.83660159,1,-,-2.697097208,83%-84%,-,17.38038161
,Hemiphaga chathamensis,680265,Aves,1,14.83660159,1,-,-2.697097208,83%-84%,-,-
hermit warbler,Setophaga occidentalis,111977,Aves,1,0.478580967,0.032258065,-,-2.697057333,83%-84%,-,1.562181259
Townsend's warbler,Setophaga townsendi,111978,Aves,1,0.478580967,0.032258065,-,-2.697057333,83%-84%,-,1.562181259
New Guinean bandicoots,Peroryctidae,38627,Mammals,11,18.1,1.222222222,1.006656767,-2.695241243,83%-84%,-2.094413175,14.83892439
Nimba otter shrew,Micropotamogale lamottei,105689,Mammals,1,14.8,1,0.962979263,-2.694627181,83%-84%,-2.020163829,32.71495494
Ruwenzori otter shrew,Micropotamogale ruwenzorii,1833875,Mammals,1,14.8,1,1.074041473,-2.694627181,83%-84%,-1.965128074,32.71495494
,Limnomys bryophilus,349706,Mammals,1,14.8,1,-,-2.694627181,83%-84%,-,-
,Limnomys sibuanus,349707,Mammals,1,14.8,1,-,-2.694627181,83%-84%,-,17.10022622
,Larus marinus,8912,Aves,1,0.422851546,0.028571429,-,-2.694613944,83%-84%,-,1.410331029
,Phaenicophaeus curvirostris,33595,Aves,1,14.79785626,1,-,-2.694482323,83%-84%,-,18.24132829
,Prodotiscus zambesiae,1002877,Aves,1,7.398454616,0.5,-,-2.694418323,83%-84%,-,11.17367164
,Automolus roraimae,1094532,Aves,1,1.643500004,0.111111111,-,-2.694052694,83%-84%,-,2.995811452
,Macrosphenus flavicans,237426,Aves,1,14.78728744,1,-,-2.693767855,83%-84%,-,19.46997724
black-legged seriema,Chunga burmeisteri,1352770,Aves,1,14.78083928,1,-,-2.693331699,83%-84%,-,48.4922929
red-legged seriema,Cariama cristata,54380,Aves,1,14.78083928,1,-,-2.693331699,83%-84%,-,48.4922929
slaty-backed chat-tyrant,Ochthoeca cinnamomeiventris,456401,Aves,1,2.954422617,0.2,-,-2.692741152,83%-84%,-,5.195878063
,Melithreptus lunatus,108836,Aves,1,2.954109123,0.2,-,-2.692635036,83%-84%,-,8.860748047
,Melithreptus affinis,863592,Aves,1,2.954109123,0.2,0.791753692,-2.692635036,83%-84%,-1.091477621,8.860748047
Campbell teal,Anas nesiotis,101514,Aves,1,0.368971245,0.025,0.82640045,-2.691842888,83%-84%,0.836163869,1.78064656
Sharpe's starling,Cinnyricinclus sharpii,245051,Aves,1,7.37869491,0.5,-,-2.691743962,83%-84%,-,9.546043737
,Campephilus guatemalensis,381861,Aves,1,1.475343726,0.1,-,-2.69147609,83%-84%,-,3.207819155
violet turaco,Musophaga violacea,103959,Aves,1,14.74968683,1,-,-2.69122185,83%-84%,-,25.44722578
white-tailed laurel pigeon,Columba junoniae,286718,Aves,1,0.776278452,0.052631579,0.870272366,-2.691194986,83%-84%,0.173013874,5.804953167
,Philydor lichtensteini,555310,Aves,1,1.841466761,0.125,-,-2.690003949,83%-84%,-,3.338528962
,Sedum,3784,Embryophytes,150,34.52,2.34375,-,-2.689786655,83%-84%,-,-
copper-rumped hummingbird,Amazilia tobaci,302524,Aves,1,0.54479536,0.037037037,-,-2.688491826,83%-84%,-,2.374068074
,Mesomys occultus,176509,Mammals,1,4.9,0.333333333,-,-2.687847494,83%-84%,-,-
spiny tree rat,Mesomys hispidus,30627,Mammals,1,4.9,0.333333333,-,-2.687847494,83%-84%,-,8.350346036
,Mesomys sp.,30628,Mammals,1,4.9,0.333333333,-,-2.687847494,83%-84%,-,-
Surinam spiny tree rat,Mesomys stimulax,30629,Mammals,1,4.9,0.333333333,-,-2.687847494,83%-84%,-,8.350346036
,Bangsia melanochlamys,548499,Aves,1,3.674677237,0.25,-,-2.687759663,83%-84%,-,5.216858795
,Bangsia rothschildi,548500,Aves,1,3.674677232,0.25,-,-2.687759662,83%-84%,-,5.216858792
cream-colored woodpecker,Celeus flavus,315363,Aves,1,1.224611461,0.083333333,-,-2.687530269,83%-84%,-,2.707138169
,Aphidinae,133076,Arthropods,710,89.9,6.120689655,-,-2.687023163,83%-84%,-,-
black-capped lory,Lorius lory,274062,Aves,1,2.936775419,0.2,0.713729624,-2.686750096,83%-84%,-1.16753275,5.382016195
,Lipaugus uropygialis,1506530,Aves,1,2.936416234,0.2,1,-2.686627782,83%-84%,-0.894868313,6.841787505
Hispaniolan parakeet,Psittacara chloropterus,867386,Aves,1,1.467917528,0.1,-,-2.686429842,83%-84%,-,5.101864433
yellow-bearded bulbul,Criniger olivaceus,182887,Aves,1,3.669104565,0.25,-,-2.686242006,83%-84%,-,7.899962109
,Gobiinae,497223,Actinopterians,674,37.75,2.572519084,-,-2.686099869,83%-84%,-,-
Restinga antwren,Formicivora littoralis,1538093,Aves,1,2.442881052,0.166666667,-,-2.684937571,83%-84%,-,4.700916305
,Atticora fasciata,72869,Aves,1,7.317377551,0.5,-,-2.683399186,83%-84%,-,8.915914207
,Poecilotriccus ruficeps,495156,Aves,1,2.089093659,0.142857143,-,-2.682640465,83%-84%,-,4.960635809
,Haematopus leucopodus,555262,Aves,1,2.92009355,0.2,1.140529128,-2.681053566,83%-84%,-0.778551246,8.527221574
,Myotomys unisulcatus,190455,Mammals,1,14.6,1,-,-2.681021529,83%-84%,-,15.8109405
Rock karroo rat,Myotomys sloggetti,635075,Mammals,1,14.6,1,-,-2.681021529,83%-84%,-,15.8109405
northern brown bandicoot,Isoodon macrourus,37698,Mammals,1,7.3,0.5,0.977997288,-2.681021529,83%-84%,-1.59718636,13.01922742
red-legged partridge,Alectoris rufa,9079,Aves,1,2.432039915,0.166666667,0.999969522,-2.680489846,83%-84%,-0.734605821,5.716647033
king gull,Larus hartlaubii,287015,Aves,1,0.416447052,0.028571429,-,-2.679352111,83%-84%,-,1.840408757
Mallee ringneck,Barnardius barnardi,286724,Aves,1,14.57073963,1,-,-2.679015383,83%-84%,-,-
Port Lincoln ringneck,Barnardius zonarius,309859,Aves,1,14.57073963,1,-,-2.679015383,83%-84%,-,15.88845232
,Leucippus chlorocercus,689224,Aves,1,4.853697639,0.333333333,-,-2.678353103,83%-84%,-,6.129925966
slender-billed babbler,Turdoides longirostris,1464065,Aves,1,1.212907422,0.083333333,-,-2.677926955,83%-84%,-,2.971450235
,Asthenes wyatti,644978,Aves,1,0.727597544,0.05,0.830817443,-2.677725066,83%-84%,0.191102317,2.11048644
white-bellied Cinclodes,Cinclodes palliatus,279553,Aves,1,0.969992265,0.066666667,0.765445244,-2.677583019,83%-84%,-0.153321158,2.046785252
,Tragopan blythii,30406,Aves,1,3.637080934,0.25,0.941851495,-2.67747578,83%-84%,-1.115673442,7.499986617
,Platysteira peltata,497056,Aves,1,4.846727864,0.333333333,-,-2.676916099,84%-85%,-,9.556556232
,Platysteira laticincta,497061,Aves,1,4.846727864,0.333333333,-,-2.676916099,84%-85%,-,9.556556232
,Picumnus lafresnayi,1109087,Aves,1,1.615546575,0.111111111,-,-2.676897913,84%-85%,-,4.605144994
,Molothrus oryzivorus,1118790,Aves,1,2.905387872,0.2,-,-2.676004813,84%-85%,-,4.188440141
,Buthraupis wetmorei,548505,Aves,1,4.841026701,0.333333333,1,-2.675739115,84%-85%,-1.289444754,5.765460712
,Megalaima viridis,1032469,Aves,1,1.208650388,0.083333333,-,-2.674411005,84%-85%,-,5.372273154
Mexican volcano mouse,Neotomodon alstoni,230081,Mammals,1,14.5,1,-,-2.674148649,84%-85%,-,15.6963733
pygmy hippopotamus,Hexaprotodon liberiensis,56798,Mammals,1,14.5,1,-,-2.674148649,84%-85%,-,37.18159101
hippopotamus,Hippopotamus amphibius,9833,Mammals,1,14.5,1,-,-2.674148649,84%-85%,-,37.18159101
weeper capuchin monkey,Cebus olivaceus,37295,Mammals,1,2.9,0.2,0.991790382,-2.674148649,84%-85%,-0.889254038,8.024109047
Woolley's pseudantechinus,Pseudantechinus woolleyae,32559,Mammals,1,2.9,0.2,1.080839009,-2.674148649,84%-85%,-0.817195398,7.648556527
fat-tailed pseudantechinus,Pseudantechinus macdonnellensis,9299,Mammals,1,2.9,0.2,0.934084817,-2.674148649,84%-85%,-0.93888474,7.648556527
,Laterallus jamaicensis,371915,Aves,1,4.828393976,0.333333333,1,-2.673126191,84%-85%,-1.28683183,7.697467576
,Ardeotis sp.,54377,Aves,1,4.827975354,0.333333333,-,-2.673039487,84%-85%,-,-
yellowhammer,Emberiza citrinella,37595,Aves,1,0.467185959,0.032258065,-,-2.672959303,84%-85%,-,4.091571694
,Emberiza leucocephalos,504300,Aves,1,0.467185959,0.032258065,-,-2.672959303,84%-85%,-,4.091571694
gray junglefowl,Gallus sonneratii,9033,Aves,1,3.619608986,0.25,-,-2.672660366,84%-85%,-,6.92891948
pygmy wren-babbler,Pnoepyga pusilla,634347,Aves,1,4.825437439,0.333333333,-,-2.67251368,84%-85%,-,9.066324154
,Myiozetetes similis,478647,Aves,1,4.824454626,0.333333333,-,-2.672309986,84%-85%,-,7.215647339
,Aeronautes andecolus,1118496,Aves,1,14.45207474,1,-,-2.670837985,84%-85%,-,19.83679086
,Butastur rufipennis,387812,Aves,1,7.222368134,0.5,0.688906094,-2.670330076,84%-85%,-1.80414926,11.26975455
Puna ibis,Plegadis ridgwayi,33576,Aves,1,7.22215372,0.5,-,-2.670300388,84%-85%,-,18.85570586
Madagascar fish-eagle,Haliaeetus vociferoides,260531,Aves,1,2.062618041,0.142857143,-,-2.669886219,84%-85%,-,9.402562577
,Haliaeetus vocifer,52649,Aves,1,2.062618041,0.142857143,-,-2.669886219,84%-85%,-,9.402562577
,Ficedula albicilla,393706,Aves,1,0.481186725,0.033333333,-,-2.669697499,84%-85%,-,4.27143606
plain titmouse,Baeolophus inornatus,142467,Aves,1,3.607192946,0.25,-,-2.669224254,84%-85%,-,7.317976116
juniper titmouse,Baeolophus ridgwayi,287038,Aves,1,3.607192946,0.25,-,-2.669224254,84%-85%,-,7.317976116
,Xolmis cinereus,555365,Aves,1,2.884816456,0.2,1.00027117,-2.66889919,84%-85%,-0.876913772,4.698985029
fairy martin,Petrochelidon ariel,72867,Aves,1,2.884338243,0.2,-,-2.668733408,84%-85%,-,5.291602982
,Granatellus sallaei,460203,Aves,1,7.209087731,0.5,1.095790214,-2.668489596,84%-85%,-1.507973369,10.51541674
,Granatellus venustus,460204,Aves,1,7.209087731,0.5,0.952104893,-2.668489596,84%-85%,-1.602328261,10.51541674
,Phedina borbonica,317107,Aves,1,14.40805452,1,-,-2.667787392,84%-85%,-,14.93764062
forrest kingfisher,Todiramphus macleayii,219525,Aves,1,0.900442254,0.0625,0.936928229,-2.66771948,84%-85%,0.104297308,3.053334324
,apioid superclade,241780,Embryophytes,1076,38.54666667,2.676616915,-,-2.667315976,84%-85%,-,-
southern reedbuck,Redunca arundinum,59554,Mammals,1,7.2,0.5,-,-2.667228207,84%-85%,-,13.14551815
Bohar reedbuck,Redunca redunca,59556,Mammals,1,7.2,0.5,-,-2.667228207,84%-85%,-,13.14551815
,Tylomys,164612,Mammals,4,14.4,1,1.012485239,-2.667228207,84%-85%,-1.967857811,16.97241062
,Ototylomys phyllotis,143267,Mammals,1,14.4,1,-,-2.667228207,84%-85%,-,17.1438392
Sabota lark,Calendulauda sabota,215326,Aves,1,2.056452566,0.142857143,-,-2.666892592,84%-85%,-,7.93327842
,Charmosyna rubronotata,176054,Aves,1,2.87758253,0.2,0.792297279,-2.666388455,84%-85%,-1.064683082,5.819753392
Rufous Calamanthus,Calamanthus campestris,722649,Aves,1,4.79549194,0.333333333,-,-2.666288586,84%-85%,-,10.7751321
Striated Calamanthus,Calamanthus fuliginosus,722650,Aves,1,4.79549194,0.333333333,-,-2.666288586,84%-85%,-,10.7751321
,Dysithamnus mentalis,288068,Aves,1,4.793621207,0.333333333,-,-2.665898408,84%-85%,-,6.969924643
,Annonaceae,22140,Embryophytes,1059,98.875,6.876623377,-,-2.665728683,84%-85%,-,-
Palau bush-warbler,Horornis annae,359651,Aves,1,2.053827597,0.142857143,-,-2.665615322,84%-85%,-,3.996041965
,Acridomorpha,70910,Arthropods,1259,225.9,15.7375,-,-2.664046024,84%-85%,-,-
club-winged manakin,Machaeropterus deliciosus,265628,Aves,1,4.782756388,0.333333333,-,-2.663629319,84%-85%,-,6.212235429
,Zingiberaceae,4642,Embryophytes,844,51.72,3.606837607,-,-2.663013175,84%-85%,-,-
,Ephippiorhynchus asiaticus,52783,Aves,1,14.33759323,1,1.166576221,-2.662884985,84%-85%,-1.889736842,19.99606651
,Ephippiorhynchus senegalensis,52785,Aves,1,14.33759323,1,0.91671189,-2.662884985,84%-85%,-2.012273824,19.99606651
cocoi heron,Ardea cocoi,399589,Aves,1,1.792083956,0.125,0.956206914,-2.662820706,84%-85%,-0.505301233,5.788411377
,Picus vittatus,535309,Aves,1,1.302023177,0.090909091,-,-2.661814618,84%-85%,-,2.843749101
,Picus viridanus,535307,Aves,1,1.302023098,0.090909091,-,-2.661814556,84%-85%,-,2.843749061
,Campephilus robustus,386533,Aves,1,1.431884367,0.1,0.842945992,-2.661576409,84%-85%,-0.417737586,3.616744266
coppery-chested jacamar,Galbula pastazae,118187,Aves,1,2.383409416,0.166666667,-,-2.66029146,84%-85%,-,10.38305698
,Pteropodinae,77225,Mammals,131,74.9,5.24,1.005525193,-2.659832392,84%-85%,-2.484288652,9.919609912
,Scolopax minor,56299,Aves,1,7.145360472,0.5,0.923890905,-2.659610442,84%-85%,-1.613070063,12.55358275
,Melidectes torquatus,266318,Aves,1,4.759218328,0.333333333,-,-2.658695727,84%-85%,-,7.066041054
,Elanus leucurus,321063,Aves,1,7.134667226,0.5,-,-2.658112791,84%-85%,-,18.94963379
Lesser ground-robin,Amalocichla incerta,692106,Aves,1,14.26244525,1,-,-2.657629876,84%-85%,-,22.52734808
Greater ground-robin,Amalocichla sclateriana,692107,Aves,1,14.26244525,1,-,-2.657629876,84%-85%,-,22.52734808
western grey plantain-eater,Crinifer piscator,119408,Aves,1,14.25473495,1,-,-2.657089129,84%-85%,-,28.99666595
eastern grey plantain-eater,Crinifer zonurus,119409,Aves,1,14.25473495,1,-,-2.657089129,84%-85%,-,28.99666595
,Conirostrum leucogenys,1226180,Aves,1,1.583717171,0.111111111,0.930632992,-2.656999301,84%-85%,-0.418878393,3.305308976
,Phoca,9717,Mammals,4,3.8,0.266666667,0.978959892,-2.656756907,84%-85%,-1.115362403,6.555561203
,Batis minor,392392,Aves,1,1.295426292,0.090909091,0.841033712,-2.656735097,84%-85%,-0.329323661,5.910948883
,Lonchura leucogastroides,414890,Aves,1,0.837173771,0.058823529,-,-2.655489726,84%-85%,-,2.684120586
,Mionectes striaticollis,170958,Aves,1,3.554765835,0.25,1,-2.654583553,84%-85%,-1.045145641,8.33523288
,Mionectes olivaceus,430701,Aves,1,3.554765835,0.25,1,-2.654583553,84%-85%,-1.045145641,8.33523288
black-backed butcherbird,Cracticus mentalis,1120785,Aves,1,2.369527729,0.166666667,1.077867959,-2.654450134,84%-85%,-0.643928999,7.399439728
,Fukomys,423606,Mammals,17,16.1,1.133333333,-,-2.653656129,84%-85%,-,16.44511858
,Thinornis novaeseelandiae,425654,Aves,1,14.20420568,1,-,-2.653538095,84%-85%,-,20.05645062
,Thinornis rubricollis,50410,Aves,1,14.20420568,1,-,-2.653538095,84%-85%,-,20.05645062
,Philemon eichhorni,1118818,Aves,1,2.367174683,0.166666667,-,-2.653456596,84%-85%,-,7.838096447
Dwarf dog-faced bat,Molossops temminckii,1001576,Mammals,1,7.1,0.5,-,-2.653241965,84%-85%,-,16.42311565
Rufous dog-faced bat,Molossops neglectus,409036,Mammals,1,7.1,0.5,-,-2.653241965,84%-85%,-,16.42311565
,Cypsiurus parvus,243321,Aves,1,14.1885752,1,-,-2.652437077,84%-85%,-,18.59389009
Asian palm-swift,Cypsiurus balasiensis,46498,Aves,1,14.1885752,1,-,-2.652437077,84%-85%,-,18.59389009
,Frederickena fulva,1202462,Aves,1,7.089164253,0.5,-,-2.651714637,84%-85%,-,-
black-throated antshrike,Frederickena viridis,265638,Aves,1,7.089164253,0.5,-,-2.651714637,84%-85%,-,9.202123666
,Frederickena unduligera,288039,Aves,1,7.089164253,0.5,-,-2.651714637,84%-85%,-,9.202123666
,Cebus kaapori,37294,Mammals,1,2.833333333,0.2,-,-2.650891787,84%-85%,-,-
,Cebus sp.,9517,Mammals,1,2.833333333,0.2,-,-2.650891787,84%-85%,-,-
,Cinnyricinclus femoralis,451393,Aves,1,7.082416748,0.5,-,-2.650762379,84%-85%,-,9.323835116
,Cardellina rubrifrons,182912,Aves,1,3.535873988,0.25,-,-2.649254868,84%-85%,-,4.441823172
,Paroaria baeri,665137,Aves,1,3.527833326,0.25,-,-2.646978255,84%-85%,-,4.660242415
pale leaf-eared mouse,Graomys domorum,118864,Mammals,1,4.7,0.333333333,-,-2.646174797,84%-85%,-,7.17409949
gray leaf-eared mouse,Graomys griseoflavus,118865,Mammals,1,4.7,0.333333333,-,-2.646174797,84%-85%,-,7.17409949
,Graomys centralis,327948,Mammals,1,4.7,0.333333333,-,-2.646174797,84%-85%,-,-
,Graomys chacoensis,662589,Mammals,1,4.7,0.333333333,-,-2.646174797,84%-85%,-,-
plain-brown woodcreeper,Dendrocincla fuliginosa,183179,Aves,1,2.819984096,0.2,-,-2.646169158,84%-85%,-,5.206180669
Tawny-winged woodcreeper,Dendrocincla anabatina,369588,Aves,1,2.819984096,0.2,-,-2.646169158,84%-85%,-,5.206180669
black-lored tit,Machlolophus xanthogenys,1356394,Aves,1,4.699058897,0.333333333,-,-2.645974543,84%-85%,-,9.101902043
,Xanthomixis,374661,Aves,4,11.27730673,0.8,-,-2.645936003,84%-85%,-,-
Micronesian kingfisher,Todiramphus cinnamominus,1006542,Aves,1,0.880917561,0.0625,-,-2.645797491,84%-85%,-,3.922662733
gilded hummingbird,Hylocharis chrysura,135175,Aves,1,2.348757895,0.166666667,0.941223386,-2.645646102,84%-85%,-0.75142928,3.739039216
,Contopus cinereus,456368,Aves,1,2.012447586,0.142857143,-,-2.645261835,84%-85%,-,3.847420923
Rhinoceros hornbill,Buceros rhinoceros,175835,Aves,1,7.042127693,0.5,0.947181089,-2.645057534,84%-85%,-1.582292766,15.72684725
,Inezia inornata,377285,Aves,1,7.041254164,0.5,-,-2.644933483,84%-85%,-,9.935343292
Atherton scrubwren,Sericornis keri,38398,Aves,1,2.009826985,0.142857143,-,-2.64395879,84%-85%,-,6.250811326
Malabar pied-hornbill,Anthracoceros coronatus,1303020,Aves,1,2.813412084,0.2,-,-2.643835924,84%-85%,-,11.5982341
,Timeliopsis fulvigula,266382,Aves,1,14.0496375,1,-,-2.642596595,84%-85%,-,19.10906744
,Timeliopsis griseigula,266383,Aves,1,14.0496375,1,-,-2.642596595,84%-85%,-,19.10906744
,Knipolegus signatus,555269,Aves,1,1.403969541,0.1,-,-2.641888704,84%-85%,-,3.450564321
,Cotinga nattererii,1506532,Aves,1,2.339867032,0.166666667,-,-2.641853573,84%-85%,-,6.954609337
,Camaroptera harterti,483404,Aves,1,3.508172668,0.25,-,-2.641389656,84%-85%,-,-
,Camaroptera brevicaudata,98121,Aves,1,3.508172668,0.25,-,-2.641389656,84%-85%,-,-
Brazilian tanager,Ramphocelus bresilius,36731,Aves,1,1.559055731,0.111111111,-,-2.641304915,84%-85%,-,2.699286326
,Melidectes whitemanensis,1439425,Aves,1,4.677128855,0.333333333,1.035860988,-2.641296718,84%-85%,-1.228461949,6.925477829
,Stipiturus mallee,266393,Aves,1,7.015198293,0.5,-,-2.641226161,84%-85%,-,15.98933703
,Stipiturus malachurus,342565,Aves,1,7.015198293,0.5,-,-2.641226161,84%-85%,-,15.98933703
Sichuan leaf-warbler,Abrornis forresti,300940,Aves,1,2.004210413,0.142857143,-,-2.641160323,84%-85%,-,4.45568053
skinks,Scincidae,66056,Lepidosaurians,1066,149.4,10.66,-,-2.640128854,84%-85%,-,-
black-and-white munia,Lonchura bicolor,135438,Aves,1,0.824187015,0.058823529,-,-2.639855529,84%-85%,-,2.986430368
red-throated ant-tanager,Habia fuscicauda,460205,Aves,1,4.667586441,0.333333333,1,-2.639254405,84%-85%,-1.252960044,7.905080957
,Chalcostigma olivaceum,689207,Aves,1,4.667236823,0.333333333,-,-2.639179498,84%-85%,-,5.996655589
hoary marmot,Marmota caligata,93160,Mammals,1,1,0.071428571,-,-2.63905733,84%-85%,-,2.989693356
Olympic marmot,Marmota olympus,93165,Mammals,1,1,0.071428571,0.966614364,-2.63905733,84%-85%,0.037337148,2.989693356
Vancouver marmot,Marmota vancouverensis,93167,Mammals,1,1,0.071428571,-,-2.63905733,84%-85%,-,2.989693356
,Oryx beisa,344753,Mammals,1,3.5,0.25,-,-2.63905733,84%-85%,-,-
Arabian oryx,Oryx leucoryx,39411,Mammals,1,3.5,0.25,-,-2.63905733,84%-85%,-,7.905119596
